Baseline Natural Flux	Atmospheric Lifetime of N2O	Effective Sensitivity of Temperature on N2O Flux	
   9282253.6	   199.76071	        0.06	
   9472671.7	   198.27933	 0.047578713	
   9960602.6	   190.69356	 0.040254357	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9619816.8	   192.37377	        0.06	
   9806085.1	   189.71772	        0.06	
    12567059	   156.30404	 0.053452438	
   9514548.5	   196.74987	 0.037350291	
     9545827	   192.50201	        0.06	
   9282253.6	   199.76071	        0.06	
     9516291	   194.18539	        0.06	
   9960602.6	   190.69356	 0.040254357	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9619816.8	   192.37377	        0.06	
   9806085.1	   189.71772	        0.06	
    12452699	   155.54579	        0.06	
   9514548.5	   196.74987	 0.037350291	
     9545827	   192.50201	        0.06	
   9282253.6	   199.76071	        0.06	
     9516291	   194.18539	        0.06	
   9960602.6	   190.69356	 0.040254357	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9619816.8	   192.37377	        0.06	
   9806085.1	   189.71772	        0.06	
    12317332	   157.68566	        0.06	
   9514548.5	   196.74987	 0.037350291	
   9490224.9	   197.08011	 0.046385736	
   9282253.6	   199.76071	        0.06	
     9516291	   194.18539	        0.06	
   9960602.6	   190.69356	 0.040254357	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9619816.8	   192.37377	        0.06	
   9806085.1	   189.71772	        0.06	
    12317332	   157.68566	        0.06	
   9514548.5	   196.74987	 0.037350291	
   9696564.2	   191.24481	        0.06	
   9282253.6	   199.76071	        0.06	
     9516291	   194.18539	        0.06	
   9960602.6	   190.69356	 0.040254357	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9806085.1	   189.71772	        0.06	
    12317332	   157.68566	        0.06	
   9514548.5	   196.74987	 0.037350291	
   9696564.2	   191.24481	        0.06	
   9282253.6	   199.76071	        0.06	
     9516291	   194.18539	        0.06	
   9960602.6	   190.69356	 0.040254357	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9806085.1	   189.71772	        0.06	
    12054582	   160.85277	 0.059972698	
   9514548.5	   196.74987	 0.037350291	
   9504644.9	   194.43959	        0.06	
   9282253.6	   199.76071	        0.06	
     9516291	   194.18539	        0.06	
   9960602.6	   190.69356	 0.040254357	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9806085.1	   189.71772	        0.06	
    12054582	   160.85277	 0.059972698	
   9514548.5	   196.74987	 0.037350291	
   9346144.2	   197.78845	 0.059983806	
   9282253.6	   199.76071	        0.06	
     9516291	   194.18539	        0.06	
   9960602.6	   190.69356	 0.040254357	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9600345.2	   192.77657	        0.06	
    12054582	   160.85277	 0.059972698	
   9430575.9	   195.74928	 0.050987574	
   9346144.2	   197.78845	 0.059983806	
   9282253.6	   199.76071	        0.06	
   9325536.8	   197.64331	 0.059995581	
   9960602.6	   190.69356	 0.040254357	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9600345.2	   192.77657	        0.06	
    12054582	   160.85277	 0.059972698	
